Year,Population,Flag Codes
1990,3505800,
1991,3525700,
1992,3554500,
1993,3574100,
1994,3585900,
1995,3601300,
1996,3626087,
1997,3664313,
1998,3703082,
1999,3741647,
2000,3789536,
2001,3847198,
2002,3917203,
2003,3979853,
2004,4045188,
2005,4133839,
2006,4232929,
2007,4375842,
2008,4485070,
2009,4533395,
2010,4554763,
2011,4574888,
2012,4593697,
2013,4614669,
2014,4645440,
2015,4687787,
2016,4739597,
2017,4792490,
2018,4857015,
2019,4921496,
2020,4977443,
2021,5011460,
